model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,weightcum,ind_per_ha
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~1)N(~1),0.91 [0.703-0.948],0.02 [0.013-0.041],0.05 [0.028-0.099],11240 [6815-18852],8,472.909776551724,0,0.714397132083203,-3016.0718,0.714397132083203,54 [39-77]
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time)N(~1),0.9 [0.712-0.948],0.02 [0.012-0.041],0.05 [0.021-0.134],11392 [6721-19668],9,474.806282805755,1.89650625403124,0.27676973754757,-3016.2274,0.991166869630774,64 [47-89]
Phi(~1)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.82 [0.752-0.872],0.03 [0.019-0.052],0.08 [0.062-0.108],7889 [5683-11067],9,483.040832805755,10.1310562540313,0.00450825827937337,-3007.9928,0.995675127910147,66 [48-91]
Phi(~Time)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.696-0.89],0.03 [0.02-0.054],0.08 [0.059-0.117],7929 [5695-11157],10,484.920042881844,12.0102663301203,0.00176174685849936,-3008.1716,0.997436874768647,52 [37-74]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.82 [0.665-0.903],0.03 [0.02-0.055],0.08 [0.057-0.122],7736 [5538-10927],11,486.606632380952,13.6968558292283,0.000758062911940307,-3008.549,0.998194937680587,66 [48-91]
Phi(~1)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.744-0.86],0.03 [0.022-0.055],0.08 [0.065-0.105],7645 [5507-10728],8,487.584676551724,14.6749,0.000464863723129269,-3001.3969,0.998659801403716,66 [48-92]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.72 [0.58-0.845],0.03 [0.017-0.05],0.08 [0.054-0.15],8882 [6262-12730],10,489.326262881844,16.4164863301202,0.000194600965078894,-3003.7654,0.998854402368795,52 [37-74]
Phi(~Time)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.695-0.881],0.04 [0.021-0.057],0.08 [0.062-0.111],7642 [5502-10729],9,489.618372805755,16.7085962540313,0.000168156680546106,-3001.4153,0.999022559049341,65 [47-90]
Phi(~Time + I(Time^2))p(~sundur)pent(~Time + I(Time^2))N(~1),0.71 [0.58-0.829],0.03 [0.015-0.047],0.08 [0.049-0.212],9202 [6525-13104],9,489.824422805755,16.9146462540313,0.00015169488487223,-3001.2092,0.999174253934213,65 [47-91]
Phi(~1)p(~temp + wind)pent(~Time + I(Time^2))N(~1),0.81 [0.746-0.859],0.03 [0.021-0.053],0.08 [0.063-0.102],7789 [5611-10929],8,489.877846551724,16.96807,0.000147696470685358,-2999.1037,0.999321950404899,59 [41-85]
Phi(~1)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),0.8 [0.731-0.849],0.04 [0.023-0.06],0.08 [0.068-0.105],7510 [5396-10570],8,490.205326551724,17.29555,0.00012538879800377,-2998.7762,0.999447339202902,62 [45-87]
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.65 [0.535-0.767],0.11 [0.033-0.245],0.09 [0.057-0.153],5831 [4157-8307],10,490.705742881844,17.7959663301202,9.76325682687873e-05,-3002.3859,0.999544971771171,64 [46-89]
Phi(~1)p(~sundur)pent(~Time + I(Time^2))N(~1),0.79 [0.729-0.845],0.04 [0.024-0.061],0.08 [0.068-0.104],7409 [5328-10421],7,491.31438866571,18.4046121139861,7.20159942784396e-05,-2995.621,0.99961698776545,54 [38-77]
Phi(~Time)p(~temp + wind)pent(~Time + I(Time^2))N(~1),0.82 [0.714-0.891],0.03 [0.018-0.052],0.08 [0.059-0.108],7825 [5651-10946],9,491.410512805755,18.5007362540313,6.86366169481767e-05,-2999.6231,0.999685624382398,64 [47-89]
Phi(~Time)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),0.79 [0.666-0.869],0.04 [0.024-0.062],0.08 [0.063-0.116],7552 [5409-10666],9,491.746012805755,18.8362362540312,5.80367347071041e-05,-2999.2876,0.999743661117105,65 [47-90]
Phi(~1)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.82 [0.715-0.894],0.03 [0.012-0.053],0.01 [0.004-0.215],17622 [9309-33936],8,492.980466551724,20.07069,3.13072372885711e-05,-2996.0011,0.999774968354394,56 [40-78]
Phi(~1)p(~Time + I(Time^2))pent(~1)N(~1),0.79 [0.701-0.862],0.03 [0.017-0.054],0.03 [0.012-0.069],15656 [7965-31452],6,493.036973839542,20.1271972878174,3.04350726861886e-05,-2991.858,0.99980540342708,63 [46-87]
Phi(~Time)p(~sundur)pent(~Time + I(Time^2))N(~1),0.79 [0.675-0.864],0.04 [0.025-0.063],0.08 [0.065-0.111],7401 [5316-10421],8,493.114416551724,20.20464,2.92791100479855e-05,-2995.8671,0.999834682537128,64 [46-89]
Phi(~1)p(~temp)pent(~Time + I(Time^2))N(~1),0.8 [0.739-0.85],0.04 [0.023-0.056],0.08 [0.066-0.101],7586 [5465-10646],7,493.22664866571,20.3168721139861,2.76813316158704e-05,-2993.7087,0.999862363868744,56 [39-81]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time + I(Time^2))N(~1),0.8 [0.652-0.884],0.04 [0.025-0.062],0.08 [0.063-0.116],7404 [5312-10438],10,493.268092881844,20.3583163301203,2.71136184918347e-05,-2999.8236,0.999889477487235,64 [47-89]
Phi(~Time + I(Time^2))p(~temp + wind)pent(~Time + I(Time^2))N(~1),0.82 [0.67-0.907],0.03 [0.018-0.053],0.08 [0.054-0.117],7845 [5632-11046],10,493.462212881844,20.5524363301203,2.46056509269241e-05,-2999.6294,0.999914083138162,64 [47-89]
Phi(~1)p(~Time + I(Time^2))pent(~Time)N(~1),0.79 [0.697-0.855],0.03 [0.017-0.059],0.03 [0.009-0.09],16440 [9073-30264],7,494.59033866571,21.6805621139861,1.39979828501478e-05,-2992.345,0.999928081121013,66 [47-93]
Phi(~Time)p(~temp)pent(~Time + I(Time^2))N(~1),0.82 [0.707-0.885],0.03 [0.02-0.055],0.08 [0.061-0.106],7670 [5533-10746],8,494.676046551724,21.76627,1.34107858061316e-05,-2994.3055,0.999941491906819,76 [55-105]
Phi(~Time)p(~temp + wind + sundur)pent(~Time)N(~1),0.86 [0.766-0.918],0.02 [0.013-0.038],0.08 [0.059-0.102],8283 [6033-11478],9,495.871232805755,22.9614562540313,7.37773120889985e-06,-2995.1624,0.999948869638028,58 [41-82]
Phi(~Time + I(Time^2))p(~temp)pent(~Time + I(Time^2))N(~1),0.81 [0.654-0.902],0.03 [0.018-0.055],0.08 [0.056-0.117],7870 [5645-11090],9,495.927002805755,23.0172262540312,7.17484506066086e-06,-2995.1066,0.999956044483088,116 [59-233]
Phi(~Time + I(Time^2))p(~Time)pent(~Time + I(Time^2))N(~1),0.69 [0.575-0.811],0.05 [0.022-0.101],0.09 [0.054-0.154],6331 [4383-9301],9,496.420872805755,23.5110962540313,5.60492775512868e-06,-2994.6128,0.999961649410843,60 [43-84]
Phi(~1)p(~wind)pent(~Time + I(Time^2))N(~1),0.79 [0.726-0.838],0.04 [0.025-0.06],0.08 [0.068-0.101],7454 [5358-10487],7,496.47585866571,23.5660821139861,5.45293086271386e-06,-2990.4595,0.999967102341706,83 [50-140]
Phi(~Time + I(Time^2))p(~1)pent(~Time + I(Time^2))N(~1),0.67 [0.563-0.786],0.04 [0.022-0.056],0.08 [0.062-0.116],8329 [5882-11924],8,496.557776551724,23.648,5.2340967774877e-06,-2992.4238,0.999972336438483,55 [39-79]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time)N(~1),0.84 [0.717-0.916],0.02 [0.014-0.04],0.08 [0.058-0.104],8406 [6113-11665],10,496.666132881844,23.7563563301202,4.95806790236747e-06,-2996.4255,0.999977294506386,65 [47-90]
Phi(~1)p(~1)pent(~Time + I(Time^2))N(~1),0.78 [0.724-0.835],0.04 [0.026-0.061],0.08 [0.069-0.101],7356 [5291-10344],6,497.093863839542,24.1840872878174,4.00342662314685e-06,-2987.8011,0.999981297933009,66 [48-91]
Phi(~Time)p(~Time + I(Time^2))pent(~Time)N(~1),0.82 [0.68-0.901],0.03 [0.015-0.059],0.06 [0.033-0.127],10275 [6182-17408],8,497.412516551724,24.50274,3.41379403864692e-06,-2991.569,0.999984711727048,63 [46-88]
Phi(~Time)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.78 [0.656-0.862],0.04 [0.021-0.103],0.09 [0.05-0.16],6370 [4438-9293],9,498.116272805755,25.2064962540313,2.40114610491202e-06,-2992.9174,0.999987112873153,58 [38-91]
Phi(~Time)p(~wind)pent(~Time + I(Time^2))N(~1),0.79 [0.686-0.864],0.04 [0.024-0.061],0.08 [0.065-0.106],7467 [5367-10507],8,498.488176551724,25.5784,1.99370415732445e-06,-2990.4934,0.99998910657731,62 [45-86]
Phi(~Time + I(Time^2))p(~temp + wind)pent(~Time)N(~1),0.85 [0.727-0.92],0.02 [0.012-0.035],0.07 [0.052-0.106],8443 [6111-11773],9,498.497472805755,25.5876962540312,1.98445867091299e-06,-2992.5362,0.999991091035981,62 [45-87]
Phi(~Time)p(~1)pent(~Time + I(Time^2))N(~1),0.79 [0.687-0.862],0.04 [0.024-0.062],0.08 [0.066-0.105],7383 [5307-10388],7,499.06585866571,26.1560821139861,1.49354611764437e-06,-2987.8695,0.999992584582099,61 [45-85]
Phi(~1)p(~Time)pent(~Time + I(Time^2))N(~1),0.78 [0.711-0.843],0.04 [0.021-0.075],0.08 [0.059-0.12],7364 [5167-10635],7,499.13394866571,26.2241721139861,1.44355415677836e-06,-2987.8014,0.999994028136255,62 [45-86]
Phi(~Time)p(~Time + I(Time^2))pent(~1)N(~1),0.77 [0.616-0.88],0.04 [0.029-0.068],0.09 [0.082-0.088],8063 [5820-11285],7,499.90128866571,26.9915121139861,9.83574629095273e-07,-2987.0341,0.999995011710884,63 [45-88]
Phi(~Time)p(~temp + wind)pent(~Time)N(~1),0.89 [0.774-0.938],0.02 [0.011-0.03],0.07 [0.046-0.108],7982 [5715-11267],8,500.058586551724,27.14881,9.09181344406517e-07,-2988.923,0.999995920892229,61 [45-85]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time)N(~1),0.84 [0.717-0.91],0.02 [0.013-0.039],0.08 [0.058-0.105],8421 [6124-11686],9,500.443482805755,27.5337062540312,7.50017429851022e-07,-2990.5902,0.999996670909659,62 [45-86]
Phi(~Time + I(Time^2))p(~wind)pent(~Time + I(Time^2))N(~1),0.79 [0.641-0.881],0.04 [0.023-0.062],0.08 [0.062-0.112],7479 [5361-10555],9,500.534342805755,27.6245662540313,7.16706524194083e-07,-2990.4993,0.999997387616183,64 [47-90]
Phi(~Time)p(~Time)pent(~Time + I(Time^2))N(~1),0.78 [0.686-0.86],0.08 [0.045-0.13],0.09 [0.063-0.136],5970 [4239-8541],8,500.579696551724,27.66992,7.00636756061277e-07,-2988.4019,0.999998088252939,56 [40-81]
Phi(~Time + I(Time^2))p(~temp)pent(~Time)N(~1),0.84 [0.725-0.913],0.02 [0.012-0.035],0.08 [0.054-0.105],8424 [6100-11743],8,500.798896551724,27.88912,6.27905434471169e-07,-2988.1827,0.999998716158373,62 [45-87]
Phi(~Time)p(~temp + sundur)pent(~Time)N(~1),0.88 [0.767-0.93],0.02 [0.011-0.033],0.07 [0.054-0.106],8126 [5875-11350],8,502.141246551724,29.23147,3.20927285670107e-07,-2986.8403,0.999999037085659,64 [46-89]
Phi(~Time)p(~temp + wind + sundur)pent(~1)N(~1),0.84 [0.753-0.893],0.02 [0.013-0.036],0.07 [0.062-0.084],8660 [6310-11990],8,502.214466551724,29.30469,3.0939060519256e-07,-2986.7671,0.999999346476264,60 [44-84]
Phi(~Time)p(~temp)pent(~Time)N(~1),0.89 [0.778-0.943],0.02 [0.01-0.026],0.07 [0.038-0.122],7604 [5343-10960],7,503.32772866571,30.4179521139861,1.7732310422787e-07,-2983.6076,0.999999523799368,62 [45-87]
Phi(~Time)p(~temp + wind)pent(~1)N(~1),0.86 [0.785-0.911],0.02 [0.012-0.029],0.07 [0.052-0.081],8460 [6143-11758],7,504.05315866571,31.1433821139861,1.23378703567126e-07,-2982.8822,0.999999647178072,66 [48-91]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~1)N(~1),0.83 [0.725-0.906],0.02 [0.013-0.037],0.07 [0.062-0.084],8676 [6318-12018],9,504.235942805755,31.3261662540313,1.12602784672528e-07,-2986.7977,0.999999759780857,59 [42-83]
Phi(~Time + I(Time^2))p(~temp + wind)pent(~1)N(~1),0.85 [0.746-0.911],0.02 [0.012-0.03],0.07 [0.054-0.082],8608 [6242-11978],8,505.443056551724,32.53328,6.15783022985774e-08,-2983.5385,0.999999821359159,63 [45-87]
Phi(~Time)p(~sundur + wind)pent(~Time)N(~1),0.85 [0.761-0.901],0.03 [0.016-0.042],0.08 [0.067-0.1],8268 [6019-11463],8,507.388016551724,34.47824,2.32854702835801e-08,-2981.5935,0.999999844644629,65 [47-90]
Phi(~Time)p(~temp)pent(~1)N(~1),0.86 [0.796-0.908],0.02 [0.011-0.026],0.07 [0.053-0.08],8428 [6120-11713],6,507.397123839542,34.4873472878174,2.31796775975794e-08,-2977.4979,0.999999867824307,61 [45-85]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time)N(~1),0.83 [0.718-0.905],0.03 [0.015-0.043],0.08 [0.064-0.103],8352 [6077-11584],9,507.551652805755,34.6418762540313,2.14561527570151e-08,-2983.482,0.99999988928046,62 [45-86]
Phi(~Time)p(~temp + sundur)pent(~1)N(~1),0.85 [0.769-0.901],0.02 [0.012-0.031],0.07 [0.059-0.084],8645 [6289-11989],7,507.57140866571,34.6616321139861,2.12452537202986e-08,-2979.3639,0.999999910525713,71 [45-115]
Phi(~1)p(~temp + wind + sundur)pent(~Time)N(~1),0.85 [0.783-0.895],0.03 [0.017-0.044],0.08 [0.067-0.098],8731 [6324-12164],8,507.860056551724,34.95028,1.8390046608798e-08,-2981.1215,0.99999992891576,141 [80-253]
Phi(~Time + I(Time^2))p(~sundur)pent(~Time)N(~1),0.83 [0.719-0.903],0.02 [0.015-0.041],0.08 [0.063-0.103],8383 [6104-11619],8,507.976306551724,35.06653,1.73515974305088e-08,-2981.0052,0.999999946267357,142 [82-249]
Phi(~Time + I(Time^2))p(~temp)pent(~1)N(~1),0.85 [0.745-0.905],0.02 [0.012-0.029],0.07 [0.056-0.082],8641 [6263-12030],7,508.50067866571,35.5909021139861,1.33497614541585e-08,-2978.4347,0.999999959617119,122 [67-224]
Phi(~Time + I(Time^2))p(~1)pent(~Time)N(~1),0.84 [0.724-0.909],0.02 [0.013-0.037],0.08 [0.059-0.105],8408 [6111-11674],7,508.65963866571,35.7498621139861,1.2329792844276e-08,-2978.2757,0.999999971946912,76 [46-129]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~1)N(~1),0.84 [0.729-0.901],0.02 [0.013-0.034],0.07 [0.061-0.084],8748 [6364-12131],8,508.968836551724,36.05906,1.05636575063306e-08,-2980.0127,0.999999982510569,84 [50-146]
Phi(~Time + I(Time^2))p(~wind)pent(~Time)N(~1),0.84 [0.723-0.911],0.02 [0.013-0.038],0.08 [0.06-0.104],8422 [6126-11685],8,509.172966551724,36.26319,9.53867486790791e-09,-2979.8086,0.999999992049244,64 [46-89]
Phi(~Time)p(~sundur)pent(~Time)N(~1),0.86 [0.768-0.913],0.02 [0.014-0.039],0.08 [0.065-0.101],8275 [6029-11464],7,510.43188866571,37.5221121139861,5.08295871410749e-09,-2976.5035,0.999999997132203,61 [44-85]
Phi(~Time)p(~wind)pent(~Time)N(~1),0.87 [0.764-0.92],0.02 [0.013-0.037],0.08 [0.061-0.101],8247 [6001-11440],7,512.90773866571,39.997962113986,1.47398337678924e-09,-2974.0276,0.999999998606186,62 [45-87]
Phi(~Time)p(~1)pent(~Time)N(~1),0.89 [0.366-0.964],0.02 [0.007-0.045],0.07 [0.038-0.165],7844 [5094-12301],6,514.044703839542,41.1349272878174,8.34840933708279e-10,-2970.8503,0.999999999441027,54 [39-77]
Phi(~1)p(~temp + wind)pent(~Time)N(~1),0.85 [0.789-0.897],0.03 [0.016-0.041],0.08 [0.066-0.096],8867 [6426-12343],7,517.46675866571,44.556982113986,1.50839113467095e-10,-2969.4686,0.999999999591866,55 [39-77]
Phi(~Time)p(~Time)pent(~1)N(~1),0.9 [0.837-0.947],0.02 [0.011-0.025],0.08 [0.079-0.088],10208 [7419-14150],6,517.960263839542,45.0504872878174,1.17855725146937e-10,-2966.9347,0.999999999709722,62 [44-88]
Phi(~1)p(~sundur + wind)pent(~Time)N(~1),0.83 [0.77-0.878],0.03 [0.019-0.048],0.08 [0.071-0.098],8472 [6126-11826],7,519.05473866571,46.144962113986,6.81849451626877e-11,-2967.8806,0.999999999777907,55 [39-77]
Phi(~1)p(~temp + sundur)pent(~Time)N(~1),0.84 [0.781-0.89],0.03 [0.018-0.045],0.08 [0.069-0.098],8574 [6207-11953],7,519.49784866571,46.5880721139861,5.46346772197607e-11,-2967.4375,0.999999999832541,55 [39-77]
Phi(~Time)p(~sundur + wind)pent(~1)N(~1),0.82 [0.739-0.873],0.03 [0.016-0.043],0.08 [0.073-0.086],8767 [6368-12174],7,519.75757866571,46.8478021139861,4.79809374258376e-11,-2967.1778,0.999999999880522,68 [48-97]
Phi(~Time)p(~sundur)pent(~1)N(~1),0.83 [0.749-0.887],0.02 [0.014-0.038],0.08 [0.07-0.086],8887 [6473-12306],6,521.178043839542,48.2682672878175,2.35840634916042e-11,-2963.717,0.999999999904107,56 [40-78]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~1)N(~1),0.81 [0.713-0.887],0.03 [0.015-0.042],0.08 [0.072-0.086],8829 [6412-12262],8,521.390546551724,48.48077,2.12067568886401e-11,-2967.591,0.999999999925313,56 [40-79]
Phi(~Time + I(Time^2))p(~sundur)pent(~1)N(~1),0.82 [0.722-0.889],0.02 [0.014-0.038],0.08 [0.069-0.086],8944 [6513-12388],7,521.59653866571,48.6867621139861,1.91312628438608e-11,-2965.3388,0.999999999944445,55 [39-77]
Phi(~Time + I(Time^2))p(~1)pent(~1)N(~1),0.84 [0.745-0.898],0.02 [0.012-0.031],0.07 [0.062-0.084],8890 [6466-12328],6,521.709463839542,48.7996872878174,1.80809917728164e-11,-2963.1855,0.999999999962526,56 [40-79]
Phi(~Time)p(~1)pent(~1)N(~1),0.86 [0.763-0.912],0.02 [0.011-0.029],0.07 [0.058-0.084],8681 [6304-12062],5,522.616646909871,49.7068703581471,1.14876170042768e-11,-2960.2438,0.999999999974013,57 [41-80]
Phi(~Time + I(Time^2))p(~wind)pent(~1)N(~1),0.84 [0.739-0.9],0.02 [0.013-0.033],0.07 [0.062-0.084],8887 [6468-12315],7,522.64413866571,49.734362113986,1.13307899554382e-11,-2964.2912,0.999999999985344,58 [42-82]
Phi(~Time)p(~wind)pent(~1)N(~1),0.85 [0.749-0.907],0.02 [0.012-0.033],0.07 [0.061-0.085],8757 [6374-12134],6,523.231763839542,50.3219872878174,8.44615415474981e-12,-2961.6632,0.99999999999379,57 [41-79]
Phi(~1)p(~sundur)pent(~Time)N(~1),0.83 [0.772-0.878],0.03 [0.02-0.048],0.08 [0.072-0.098],8403 [6076-11731],6,525.471083839542,52.5613072878174,2.75674657748072e-12,-2959.4239,0.999999999996547,57 [41-79]
Phi(~Time + I(Time^2))p(~Time)pent(~1)N(~1),0.67 [0.547-0.819],0.05 [0.031-0.076],0.09 [0.086-0.089],7808 [5541-11132],7,527.00396866571,54.0941921139861,1.28095871679169e-12,-2959.9314,0.999999999997828,66 [46-94]
Phi(~1)p(~wind)pent(~Time)N(~1),0.83 [0.774-0.879],0.03 [0.019-0.046],0.08 [0.07-0.097],8616 [6232-12021],6,527.311693839542,54.4019172878175,1.09828097578399e-12,-2957.5833,0.999999999998926,58 [42-81]
Phi(~1)p(~temp)pent(~Time)N(~1),0.85 [0.785-0.892],0.03 [0.017-0.043],0.08 [0.068-0.097],8696 [6297-12116],6,527.543343839542,54.6335672878174,9.78163160730515e-13,-2957.3517,0.999999999999904,58 [42-81]
Phi(~1)p(~1)pent(~Time)N(~1),0.83 [0.774-0.878],0.03 [0.019-0.047],0.08 [0.071-0.097],8520 [6161-11891],5,533.209536909871,60.2997603581471,5.75457309151977e-14,-2949.651,0.999999999999962,58 [42-82]
Phi(~1)p(~Time)pent(~Time)N(~1),0.81 [0.726-0.87],0.03 [0.016-0.068],0.08 [0.053-0.129],9592 [6018-15555],6,534.310003839542,61.4002272878174,3.31932481788317e-14,-2950.585,0.999999999999995,58 [42-82]
Phi(~Time + I(Time^2))p(~Time)pent(~Time)N(~1),0.74 [0.689-0.805],0.23 [0.183-0.275],0.09 [0.078-0.106],19133 [11012-33630],8,538.785616551724,65.87584,3.541463752331e-15,-2950.1959,0.999999999999998,59 [42-83]
Phi(~1)p(~Time)pent(~1)N(~1),0.86 [0.782-0.91],0.03 [0.022-0.054],0.09 [0.086-0.089],8912 [6378-12572],5,540.439946909871,67.5301703581471,1.54863663256248e-15,-2942.4206,1,57 [41-81]
Phi(~Time)p(~Time)pent(~Time)N(~1),0.75 [0.695-0.806],0.21 [0.16-0.26],0.09 [0.077-0.107],19085 [10801-34141],7,543.32635866571,70.416582113986,0,-2943.609,1,55 [38-79]
Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),0.76 [0.678-0.831],0.04 [0.026-0.075],0.08 [0.076-0.087],7549 [5273-10952],7,570.85798866571,97.9482121139861,0,-2916.0774,1,44 [31-63]
Phi(~1)p(~temp + wind)pent(~1)N(~1),0.98 [0.963-0.984],0.01 [0.007-0.015],0 [0-1],7541 [5466-10513],6,572.585063839542,99.6752872878175,0,-2912.3099,1,47 [32-69]
Phi(~1)p(~temp + sundur)pent(~1)N(~1),0.75 [0.683-0.807],0.05 [0.03-0.076],0.08 [0.08-0.087],7250 [5144-10348],6,580.627803839542,107.718027287817,0,-2904.2672,1,131 [69-251]
Phi(~1)p(~sundur + wind)pent(~1)N(~1),0.74 [0.678-0.794],0.05 [0.033-0.08],0.08 [0.082-0.087],7078 [5046-10054],6,580.901513839542,107.991737287817,0,-2903.9935,1,47 [33-69]
Phi(~1)p(~sundur)pent(~1)N(~1),0.74 [0.681-0.793],0.05 [0.034-0.079],0.09 [0.083-0.088],7073 [5048-10035],5,585.070126909871,112.160350358147,0,-2897.7904,1,43 [31-62]
Phi(~1)p(~temp)pent(~1)N(~1),0.78 [0.699-0.847],0.04 [0.024-0.067],0.08 [0.074-0.086],7906 [5537-11428],5,596.787016909871,123.877240358147,0,-2886.0735,1,55 [40-78]
Phi(~1)p(~wind)pent(~1)N(~1),0.76 [0.691-0.814],0.05 [0.029-0.072],0.08 [0.079-0.086],7441 [5280-10614],5,601.485536909871,128.575760358147,0,-2881.375,1,55 [40-78]
Phi(~1)p(~1)pent(~1)N(~1),0.75 [0.691-0.807],0.05 [0.031-0.073],0.08 [0.08-0.086],7314 [5202-10410],4,605.446312857143,132.536536305419,0,-2875.3855,1,55 [40-78]
